week,time range,weather,temp,is_holiday,flow of cars
4,2,4,10,1,385
4,2,4,10,1,418
4,2,4,10,1,433
4,2,4,10,1,371
4,2,4,10,1,453
4,2,4,10,1,487
4,2,4,10,1,408
4,2,4,10,1,410
4,2,4,10,1,407
4,2,4,10,1,420
4,2,4,10,1,346
4,2,4,10,1,407
4,2,4,10,1,427
4,2,4,10,1,503
4,2,4,10,1,411
4,2,4,10,1,442
4,2,4,10,1,490
4,2,4,10,1,405
4,2,4,10,1,500
4,2,0,4,1,489
4,2,0,4,1,541
4,2,0,4,1,516
4,2,0,4,1,465
4,2,0,4,1,336
4,2,0,4,1,369
4,2,0,4,1,454
4,2,0,4,1,378
4,2,0,4,1,475
4,2,0,4,1,352
4,2,0,4,1,341
4,2,0,4,1,337
4,2,0,4,1,352
4,2,0,4,1,278
4,2,0,4,1,322
4,2,0,4,1,286
4,2,0,4,1,305
4,2,0,4,1,281
4,2,0,4,1,232
4,2,0,4,1,206
4,2,0,4,1,190
4,2,0,4,1,172
4,2,0,4,1,192
4,2,0,4,1,127
5,1,0,4,1,139
5,1,0,4,1,118
5,1,0,4,1,127
5,1,0,4,1,118
5,1,0,4,1,103
5,1,0,4,1,121
5,1,0,4,1,68
5,1,0,4,1,60
5,1,0,4,1,49
5,1,0,4,1,80
5,1,0,4,1,73
5,1,0,4,1,81
5,1,0,4,1,52
5,1,0,4,1,53
5,1,0,4,1,49
5,1,0,4,1,34
5,1,0,4,1,34
5,1,0,4,1,38
5,1,0,4,1,49
5,1,0,4,1,44
5,1,0,4,1,61
5,1,0,4,1,54
5,1,0,4,1,48
5,1,0,4,1,98
5,2,1,18,1,129
5,2,1,18,1,157
5,2,1,18,1,135
5,2,1,18,1,259
5,2,1,18,1,265
5,2,1,18,1,254
5,2,1,18,1,380
5,2,1,18,1,352
5,2,1,18,1,461
5,2,1,18,1,413
5,2,1,18,1,355
5,2,1,18,1,405
5,2,1,18,1,428
5,2,1,18,1,408
5,2,1,18,1,508
5,2,1,18,1,462
5,2,1,18,1,433
5,2,1,18,1,545
5,2,1,18,1,510
5,2,1,18,1,473
5,2,1,18,1,501
5,2,1,18,1,387
5,2,1,18,1,475
5,2,1,18,1,395
5,2,1,18,1,393
5,2,1,18,1,423
5,2,1,18,1,457
5,2,1,18,1,385
5,2,1,18,1,391
5,2,1,18,1,394
5,2,1,18,1,463
5,2,1,18,1,474
5,2,1,18,1,438
5,2,1,18,1,522
5,2,1,18,1,435
5,2,1,18,1,465
5,2,1,18,1,471
5,2,1,18,1,502
5,2,1,18,1,504
5,2,1,18,1,527
5,2,1,18,1,478
5,2,1,18,1,534
5,2,1,18,1,522
5,2,1,18,1,563
5,2,1,18,1,519
5,2,1,18,1,559
5,2,1,18,1,599
5,2,1,18,1,598
5,2,0,7,1,551
5,2,0,7,1,662
5,2,0,7,1,519
5,2,0,7,1,481
5,2,0,7,1,522
5,2,0,7,1,457
5,2,0,7,1,480
5,2,0,7,1,503
5,2,0,7,1,462
5,2,0,7,1,543
5,2,0,7,1,473
5,2,0,7,1,476
5,2,0,7,1,451
5,2,0,7,1,397
5,2,0,7,1,428
